;Marker Coordinate File
   X(um)    Y(um)     Z(um)  Marker Diameter
1 12108.17 -8056.31  -118.80     1.65
1 12845.47 -8010.11  -118.80     1.65
1 12852.07 -7965.56  -118.80     1.65
1 12804.22 -8008.46  -118.80     1.65
1 12037.22 -8785.36  -118.80     1.65
1 10509.82 -9557.31  -118.80     1.65
1 11313.12 -9593.61  -118.80     1.65
1 11301.57 -9570.51  -122.10     1.65
1  4837.22 -11135.86  -122.10     1.65
1  4835.57 -11183.71  -122.10     1.65
1  4837.22 -11190.31  -122.10     1.65
1  9396.06 -1113.10  -118.80     1.65
1  8568.01 -1997.25  -122.10     1.65
1  8536.66 -1914.75  -115.50     1.65
1  8597.71 -2698.25  -115.50     1.65
1  7751.51 -4359.30  -115.50     1.65
1  7720.16 -4359.30  -115.50     1.65
1  7763.06 -4339.50  -122.10     1.65
1 12897.39 -7456.80  -165.00     1.65
1 12154.77 -8191.99  -161.70     1.65
1 12860.72 -8248.09  -165.00     1.65
1 12901.97 -8302.54  -171.60     1.65
1 12878.87 -8220.04  -161.70     1.65
1 12908.57 -8226.64  -168.30     1.65
1 12065.67 -9039.84  -171.60     1.65
1 12179.52 -8985.39  -161.70     1.65
1 12110.22 -8983.74  -161.70     1.65
1  9685.47 -9895.94  -168.30     1.65
1 10576.22 -9900.89  -165.00     1.65
1 10571.27 -10681.09  -161.70     1.65
1 10455.77 -10590.34  -171.60     1.65
1 10566.32 -10580.44  -158.40     1.65
1  9753.12 -10689.34  -168.30     1.65
1  8911.88 -10659.64  -161.70     1.65
1  8062.37 -10664.59  -171.60     1.65
1  7255.77 -10585.39  -171.60     1.65
1  7313.52 -10694.29  -171.60     1.65
1  6483.82 -10679.44  -165.00     1.65
1  6503.62 -10651.39  -158.40     1.65
1  6455.77 -10677.79  -158.40     1.65
1  6457.42 -10616.74  -158.40     1.65
1  5781.17 -10666.24  -158.40     1.65
1  1728.37 -11484.39  -171.60     1.65
1  1744.87 -11515.74  -161.70     1.65
1  2477.22 -11380.44  -168.30     1.65
1  2485.47 -11456.34  -161.70     1.65
1  2492.07 -11519.04  -158.40     1.65
1  3379.52 -11388.69  -158.40     1.65
1  4059.07 -11484.39  -171.60     1.65
1  4936.62 -11400.24  -161.70     1.65
1  4926.72 -11512.44  -168.30     1.65
1  4963.02 -11515.74  -168.30     1.65
1  7298.67 -11436.54  -168.30     1.65
1  7283.82 -11486.04  -171.60     1.65
1  7297.02 -11385.39  -161.70     1.65
1  7343.22 -11436.54  -171.60     1.65
1  8169.62 -11436.54  -165.00     1.65
1  8143.22 -11428.29  -158.40     1.65
1  8156.42 -11494.29  -171.60     1.65
1  8078.87 -11489.34  -158.40     1.65
1  8116.82 -11413.44  -171.60     1.65
1  8864.02 -11477.79  -158.40     1.65
1  8916.82 -11416.74  -165.00     1.65
1  8895.38 -11489.34  -161.70     1.65
1  8911.88 -11504.19  -168.30     1.65
1  4888.77 -12211.79  -168.30     1.65
1  4857.42 -12221.69  -168.30     1.65
1  4981.17 -12244.79  -165.00     1.65
1  4098.67 -12241.49  -171.60     1.65
1  3293.72 -12239.84  -161.70     1.65
1  2447.52 -12216.74  -165.00     1.65
1  2549.82 -12226.64  -168.30     1.65
1  5771.16  -939.73  -171.60     1.65
1  5771.16  -903.43  -161.70     1.65
1  5878.41  -910.03  -161.70     1.65
1  9045.41 -1714.98  -165.00     1.65
1  5855.31 -1655.58  -168.30     1.65
1  5789.31 -1761.18  -158.40     1.65
1  3328.37 -12259.64  -165.00     1.49
1  3341.57 -12234.89  -165.00     1.49
1  3306.92 -12284.39  -165.00     1.49
1  3300.32 -12307.49  -165.00     1.49
1  3372.92 -12182.09  -165.00     1.49
1  5812.41 -1663.83  -171.60     1.49
1  5805.81 -1686.93  -171.60     1.49
1  5871.81 -2534.78  -161.70     1.49
1  5795.91 -2495.18  -165.00     1.49
1  5787.66 -2567.78  -161.70     1.49
1  8250.36 -2536.43  -171.60     1.49
1  8230.56 -2526.53  -171.60     1.49
1  8228.91 -2505.08  -171.60     1.49
1  8258.61 -2569.43  -171.60     1.49
1  8181.06 -2495.18  -168.30     1.49
1  8995.91 -2513.33  -171.60     1.49
1  9027.25 -2559.53  -158.40     1.49
1  8210.76 -3371.08  -158.40     1.49
1  8273.46 -3364.48  -161.70     1.49
1  8205.81 -3288.58  -158.40     1.49
1  5807.46 -3260.53  -158.40     1.49
1  5837.16 -3273.73  -161.70     1.49
1  5833.86 -3296.83  -171.60     1.49
1  5002.51 -3352.93  -161.70     1.49
1  5089.96 -3321.58  -165.00     1.49
1  5814.06 -4121.58  -165.00     1.49
1  5843.76 -4133.13  -161.70     1.49
1  5868.51 -4100.13  -161.70     1.49
1  8299.86 -4048.98  -168.30     1.49
1  7404.16 -4923.23  -168.30     1.49
1  6567.86 -4982.63  -158.40     1.49
1  6569.51 -4939.73  -165.00     1.49
1  5787.66 -4957.88  -158.40     1.49
1  5777.76 -4974.38  -161.70     1.49
1  5835.51 -4938.08  -171.60     1.49
1  5832.21 -4913.33  -171.60     1.49
1 12543.07 -8150.39  -217.80     1.49
1 10240.06 -9632.78  -207.90     1.49
1 11046.66 -9735.08  -214.50     1.49
1 10947.66 -9744.98  -207.90     1.49
1 11864.81 -9697.13  -217.80     1.49
1 11831.81 -9647.63  -211.20     1.49
1 10238.41 -10525.18  -221.10     1.49
1  8597.16 -10470.73  -217.80     1.49
1  7752.61 -10523.53  -221.10     1.49
1  7033.46 -10538.38  -207.90     1.49
1  6995.51 -10508.68  -214.50     1.49
1  2241.71 -11320.23  -217.80     1.49
1  2226.86 -11358.18  -217.80     1.49
1  2248.31 -11249.28  -207.90     1.49
1  2944.36 -11247.63  -211.20     1.49
1  3810.36 -11310.33  -207.90     1.49
1  3825.21 -11250.93  -214.50     1.49
1  3747.66 -11298.78  -207.90     1.49
1  4562.51 -11340.03  -221.10     1.49
1  4574.06 -11260.83  -221.10     1.49
1  5468.11 -11277.33  -211.20     1.49
1  5443.36 -11311.98  -211.20     1.49
1  5416.96 -11340.03  -211.20     1.49
1  5413.66 -11313.63  -214.50     1.49
1  5441.71 -11257.53  -214.50     1.49
1  5372.41 -11277.33  -221.10     1.49
1  6221.91 -11262.48  -214.50     1.49
1  6136.11 -11260.83  -217.80     1.49
1  7023.56 -11310.33  -217.80     1.49
1  7030.16 -11280.63  -221.10     1.49
1  7048.31 -11358.18  -221.10     1.49
1  7058.21 -11290.53  -221.10     1.49
1  7750.96 -11227.83  -211.20     1.49
1  8661.51 -11270.73  -211.20     1.49
1  8592.21 -11364.78  -217.80     1.49
1  9413.66 -11237.73  -214.50     1.49
1  9357.56 -11292.18  -207.90     1.49
1  5425.21 -12039.38  -217.80     1.49
1  4651.61 -12095.48  -221.10     1.49
1  4607.06 -12111.98  -221.10     1.49
1  3803.76 -12138.38  -211.20     1.49
1  2967.46 -12107.03  -207.90     1.49
1  3031.81 -12069.08  -217.80     1.49
1  3013.66 -12100.43  -214.50     1.49
1  2195.51 -12082.28  -221.10     1.49
1  2131.16 -12069.08  -211.20     1.49
1  8465.48 -1203.21  -214.50     1.65
1  6088.58 -1117.41  -211.20     1.65
1  5306.73 -2014.76  -217.80     1.65
1  5255.58 -2034.56  -221.10     1.65
1  8552.93 -2032.91  -221.10     1.65
1  6058.88 -2775.16  -214.50     1.65
1  5268.78 -2760.31  -217.80     1.65
1  5351.28 -3573.51  -211.20     1.65
1  5326.53 -3623.01  -214.50     1.65
1  5255.58 -3578.46  -211.20     1.65
1  5283.63 -3644.46  -221.10     1.65
1  5260.53 -3614.76  -221.10     1.65
1  8510.03 -3599.91  -214.50     1.65
1  7685.28 -4406.51  -214.50     1.65
1  7744.68 -4361.96  -214.50     1.65
1  6143.03 -4419.71  -211.20     1.65
1  6169.43 -4337.21  -214.50     1.65
1  6093.53 -4337.21  -217.80     1.65
1  6152.93 -5140.51  -221.10     1.65
1  6938.08 -5198.26  -221.10     1.65
1  6933.13 -5236.21  -217.80     1.65
1  6910.03 -5150.41  -217.80     1.65
1  6853.93 -5158.66  -217.80     1.65
1 12988.29 -8306.82  -267.30     1.65
1 11393.24 -9891.97  -267.30     1.65
1 11403.14 -9877.12  -264.00     1.65
1 11399.84 -9964.57  -264.00     1.65
1  7447.69 -10743.12  -270.60     1.65
1  6675.74 -10705.17  -267.30     1.65
1  5766.84 -10776.12  -260.70     1.65
1  1788.29 -11538.17  -260.70     1.65
1  1783.34 -11508.47  -267.30     1.65
1  1824.59 -11496.92  -267.30     1.65
1  2654.29 -11556.32  -267.30     1.65
1  2551.99 -11493.62  -260.70     1.65
1  3446.04 -11520.02  -260.70     1.65
1  3442.74 -11534.87  -260.70     1.65
1  4184.99 -11539.82  -260.70     1.65
1  4231.19 -11582.72  -270.60     1.65
1  4150.34 -11475.47  -267.30     1.65
1  5021.29 -11505.17  -267.30     1.65
1  4975.09 -11518.37  -267.30     1.65
1  7414.69 -11511.77  -267.30     1.65
1  7393.24 -11579.42  -270.60     1.65
1  8224.59 -11579.42  -267.30     1.65
1  8165.19 -11562.92  -264.00     1.65
1  4961.89 -12359.62  -267.30     1.65
1  4145.39 -12400.87  -260.70     1.65
1  3365.19 -12290.32  -267.30     1.65
1  3417.99 -12323.32  -270.60     1.65
1  3446.04 -12316.72  -264.00     1.65
1  2586.64 -12348.07  -270.60     1.65
1  2594.89 -12407.47  -264.00     1.65
1  9022.82 -1327.69  -264.00     1.65
1  8287.17 -1344.19  -267.30     1.65
1  6619.52 -1359.04  -267.30     1.65
1  5819.52 -1373.89  -264.00     1.65
1  5897.07 -1317.79  -270.60     1.65
1  5811.27 -2934.29  -264.00     1.65
1  5875.62 -2926.04  -267.30     1.65
1  5796.42 -2957.39  -264.00     1.65
1  5077.27 -3727.69  -270.60     1.65
1  5831.07 -3679.84  -264.00     1.65
1  5844.27 -3734.29  -264.00     1.65
1  5829.42 -3701.29  -267.30     1.65
1  5860.77 -3788.74  -270.60     1.65
1  5928.42 -3775.54  -260.70     1.65
1  8292.12 -3803.59  -264.00     1.65
1  8204.67 -4562.34  -270.60     1.65
1  5869.02 -4545.84  -264.00     1.65
1  5870.67 -4489.74  -270.60     1.65
1  5869.02 -4590.39  -264.00     1.65
1 12304.01 -7762.19  -316.80     1.65
1 11442.96 -9274.74  -316.80     1.65
1 10667.71 -10061.54  -320.10     1.65
1 10626.46 -10915.99  -310.20     1.65
1  7419.87 -10970.44  -316.80     1.65
1  6614.92 -10914.34  -310.20     1.65
1  6680.92 -10887.94  -313.50     1.65
1  5847.92 -10924.24  -310.20     1.65
1  4310.62 -10991.89  -316.80     1.65
1  1808.32 -10892.89  -310.20     1.65
1  1885.87 -10914.34  -313.50     1.65
1  1801.72 -11720.94  -313.50     1.65
1  1808.32 -11791.89  -310.20     1.65
1  4209.97 -11722.59  -316.80     1.65
1  4322.17 -11666.49  -310.20     1.65
1  4223.17 -11709.39  -310.20     1.65
1  5054.52 -11744.04  -316.80     1.65
1  8196.77 -11722.59  -310.20     1.65
1  9019.87 -11682.99  -316.80     1.65
1  9104.02 -11699.49  -320.10     1.65
1  5132.07 -12534.14  -310.20     1.65
1  4221.52 -12515.99  -320.10     1.65
1  4205.02 -12502.79  -316.80     1.65
1  3495.77 -12520.94  -310.20     1.65
1  3480.92 -12486.29  -313.50     1.65
1  3429.77 -12560.54  -316.80     1.65
1  2710.62 -12535.79  -316.80     1.65
1  2694.12 -12484.64  -310.20     1.65
1  9187.46 -1066.97  -316.80     1.65
1  8512.86 -1101.62  -310.20     1.65
1  6050.16 -1946.17  -316.80     1.65
1  6046.86 -1997.32  -310.20     1.65
1  6058.41 -2780.82  -313.50     1.65
1  6002.31 -2713.17  -316.80     1.65
1  5170.96 -3496.67  -310.20     1.65
1  5218.81 -3580.82  -316.80     1.65
1  8479.86 -4280.17  -320.10     1.65
1  5980.86 -4324.72  -316.80     1.65
1  6094.71 -4347.82  -313.50     1.65
1  6078.21 -4369.27  -316.80     1.65
1  5217.16 -4351.12  -316.80     1.65
1  5302.96 -4324.72  -313.50     1.65
1  7678.21 -5060.38  -320.10     1.65
1 12762.00 -8244.04  -359.70     1.65
1 11851.45 -9058.89  -363.00     1.65
1 11856.40 -8958.24  -369.60     1.65
1 11940.55 -9060.54  -359.70     1.65
1 11899.30 -8994.54  -363.00     1.65
1 10340.55 -9862.19  -359.70     1.65
1 11096.00 -9845.69  -369.60     1.65
1 11099.30 -9791.24  -369.60     1.65
1 11863.00 -9771.44  -369.60     1.65
1 11938.90 -9817.64  -369.60     1.65
1 11063.00 -10581.34  -359.70     1.65
1 10296.00 -10681.99  -363.00     1.65
1  6363.65 -10667.14  -359.70     1.65
1  2381.80 -11470.44  -366.30     1.65
1  2342.20 -11448.99  -369.60     1.65
1  3100.95 -11417.64  -366.30     1.65
1  3886.10 -11386.29  -369.60     1.65
1  3886.10 -11373.09  -369.60     1.65
1  3935.60 -11351.64  -369.60     1.65
1  6249.80 -11409.39  -363.00     1.65
1  6246.50 -11364.84  -369.60     1.65
1  6355.40 -11452.29  -363.00     1.65
1  7074.55 -11374.74  -369.60     1.65
1  7054.75 -11442.39  -369.60     1.65
1  7124.05 -11439.09  -359.70     1.65
1  7884.45 -11437.44  -363.00     1.65
1  9507.55 -11444.04  -359.70     1.65
1  9446.50 -11363.19  -366.30     1.65
1  9560.35 -11447.34  -369.60     1.65
1  9453.10 -11483.64  -369.60     1.65
1  5533.95 -12174.74  -369.60     1.65
1  5585.10 -12189.59  -366.30     1.65
1  5545.50 -12219.29  -366.30     1.65
1  3884.45 -12281.99  -359.70     1.65
1  3168.60 -12158.24  -363.00     1.65
1  2276.20 -12201.14  -363.00     1.65
1  2330.65 -12283.64  -366.30     1.65
1  2299.30 -12161.54  -369.60     1.65
1  8862.94 -1543.53  -363.00     1.65
1  8739.19 -1576.53  -363.00     1.65
1  8841.49 -1459.38  -359.70     1.65
1  8038.19 -1540.23  -366.30     1.65
1  6395.29 -1480.83  -369.60     1.65
1  6337.54 -1485.78  -359.70     1.65
1  5563.94 -1548.48  -366.30     1.65
1  5631.59 -1556.73  -363.00     1.65
1  5554.04 -2331.98  -363.00     1.65
1  5585.39 -2318.78  -366.30     1.65
1  5626.64 -2280.83  -359.70     1.65
1  5631.59 -2384.78  -369.60     1.65
1  8034.89 -2257.73  -366.30     1.65
1  7987.04 -2254.43  -366.30     1.65
1  7965.59 -2310.53  -366.30     1.65
